name,price (€),price_per_kg
BONPREU Pasta pinyons Km0,0.49,1.96
BONPREU Macarrons ecològics Km0,1.35,2.7
BONPREU Espirals,0.79,1.58
DE CECCO Macarrons Nº41,2.39,4.78
BONPREU Pasta petxines Km0,0.49,1.96
GALLO Espaguetis Nº3,1.0,2.5
DE CECCO Pasta Rigatoni Nº24,2.39,4.78
GALLO Espirals vegetals sense gluten,2.49,5.53
DE CECCO Espirals Nº34,2.39,4.78
GALLO Macarrons sense gluten,2.49,5.53
GALLO Llaços amb vegetals,1.79,3.98
BONPREU Macarrons amb vegetals,0.99,1.98
GALLO Fideus Nº2,1.39,3.09
DE CECCO Pasta espaguetis Nº11,2.39,4.78
GAROFALO Pasta pappardelle,2.95,5.9
BONPREU Pasta alimentària per a fideuà Km0,0.49,1.96
GALLO Fideus Nº4,1.39,3.09
EL PAVO Pasta per lasanya,1.65,8.25
BONPREU Espaguetis ecològics,1.35,2.7
GALLO Galets Nº0,1.39,3.09
BARILLA Tallarines Nº13 Bavette,1.69,3.38
BERRUTO Pasta Penne Rigate,1.39,2.78
DE CECCO Pasta Linguine Nº7,2.39,4.78
GALLO Fideus per fideuà,1.39,3.09
GALLO NATURE Espirals de pasta de colors,2.07,5.18
HETHSTIA Noodles Konjac,2.45,9.8
GALLO Espaguetis sense gluten,2.49,5.53
BERRUTO Pasta Fusilli,1.39,2.78
GALLO Fideus cabell d'àngel Nº0,1.0,2.5
GALLO Pasta pinyons,1.39,3.09
BONPREU Margarides vegetals Km0,1.05,2.1
BONPREU Macarrons a l'ou,1.39,2.78
DALLA COSTA Pasta de blat de fajol Tubetti,1.75,7.0
GAROFALO Pasta Casarecce,1.79,3.58
BERRUTO Pasta integral Penne Rigate,1.19,2.38
BONPREU Fideus cabell d'àngel Km0,0.49,1.96
SOUBRY Fideus d'ou instantànis,1.79,7.16
BONPREU Pasta pistons Km0,0.49,1.96
GALLO Macarrons Nº6,2.39,2.66
BERRUTO Espaguetis,1.39,2.78
GALLO Fideus sense gluten,2.49,5.53
SHIKOU Noodles de ramen fresc,0.99,5.5
BONPREU Galets ecològics Km0,1.35,2.7
GALLO Espaguetis Nº3,2.39,2.66
GAROFALO Espaguetis amb tinta de sèpia,2.99,5.98
GALLO Pasta pistons mitjans,1.39,3.09
BERRUTO Espaguetis sense gluten,1.65,4.13
DE CECCO Macarrons integrals,2.59,5.18
BONPREU Fideus cabell d'àngel ecològics Km0,1.35,2.7
BONPREU Pasta cabell d'àngel integral ecològica Km0,1.45,2.9
BERRUTO Espaguetis integrals,1.19,2.38
GALLO Pasta meravella,1.39,3.09
GALLO Pasta taurons sense gluten,2.49,5.53
GAROFALO Pasta Fusilli Lunghi,2.95,5.9
GALLO Nyoquis de patata,1.59,3.98
GAROFALO Galets,2.95,5.9
EL PAVO Plaques per canelons,1.59,12.72
4 HECTÁREAS Macarrons de farina d'espelta ecològics,2.25,9.0
DE CECCO Espaguetis integrals nº12,2.59,5.18
BONPREU Espaguetis a l'ou,1.39,2.78
BARILLA Pasta nyoquis,1.69,3.38
GALLO Plaques per a lasanya i canelons sense gluten,2.81,11.24
IFA Sopa de pollastre,0.49,6.13
ODINEA Espaguetis de llenties vermelles ecològics,3.55,14.2
4 HECTÁREAS Espaguetis d'espelta ecològics,2.35,9.4
BERRUTO Pasta Fusilli sense gluten,1.65,4.13
IFA Sopa d'au amb fideus,0.49,6.13
ODINEA Espaguetis de pèsols ecològics,3.55,14.2
4 HECTÁREAS Tallarines de farina d'espelta ecològica,3.35,13.4
GALLO Fideus perla,1.39,3.09
SAN MARTI Macarrons Km0,1.85,7.4
GAROFALO Canelons,2.19,8.76
SAN MARTI Pasta de galets Km0,1.85,7.4
SAN MARTÍ Pasta de fideus nº2 Km0,1.85,7.4
SAN MARTI Pasta de pistons llisos Km0,1.85,7.4
SAN MARTI Pasta meravella Km0,1.85,7.4
SAN MARTI Pasta d'espirals vegetals Km0,2.09,8.36
GALLO Espirals amb vegetals,1.0,2.5
BUITONI Base per a MiniPizza,1.88,
HELLMANN'S Maionesa,1.95,
HELLMANN'S Maionesa,2.99,
HELLMANN'S Maionesa,3.49,
EL PAVO Plaques per canelons,1.35,
BONPREU Llenties pardines,,
LUENGO Mongeta blanca,,
BONPREU Cigrons blancs,,
MANS Llentia pardina ecològica,,
BONPREU Mongetes blanques,,
ECOBASICS Cigrons pedrosillano ecològics,,
BONPREU Llenties Laird,,
LUENGO Cigrons lletosos,,
Cigronet ecològic,,
LUENGO Cigró mitjans,,
BONPREU Mongetes vermelles,,
BONPREU Mongetes blanques,,
BONPREU Cigrons,,
BONPREU Cigrons blancs,,
VEGAS BANEZANAS Cigrons,,
ECOBASICS Mongetes blanques ecològiques,,
MANS Cigrons cuits ecològics Km0,,
LUENGO Soja,,
BONPREU Soja verda ecològica,,
LUENGO Llentia pardina,,
IFA Soja texturitzada,,
BONPREU Llenties vermelles ecològiques,,
LUENGO Llenties pardines,,
BONPREU Llenties crimson,,
BONPREU Cigrons Pedrosillano,,
LUENGO Llenties ràpides,,
VEGAS BANEZANAS Llentia pardina,,
ECOBASICS Llenties pardina ecològiques,,
BONPREU Llenties ràpides,,
BONPREU Cigrons,,
LUENGO Mongetes negreta,,
LUENGO Cigrons,,
BUITONI Base per a pizza Finíssima rectangular,,
RANA Gnocchi fresc de patata,,
RANA Raviolis farcits de pollastre rostit,,
RANA Raviolis 4 formatges,,
BUITONI Raviolis farcits de carn brasejada,,
BUITONI Tortel·linis farcits de riccota i espinacs,,
BUITONI Cappelletti farcits de pernil,,
RANA Raviolis de tonyina i tomàquet,,
RANA Raviolis costelles amb salsa BBQ,,
RANA Raviolis de pernil i formatge,,
RANA Tortel·linis de parmesà,,
JR Base de Pasta Filo,,
